model,threshold,accuracy,precision_parasitized,recall_parasitized,f1_parasitized,auc_roc
"Baseline (LogReg, HOG+colour-hist)",0.5,0.8330914368650217,0.8466767371601208,0.8134978229317852,0.8297557364914878,0.9136229490584996
"Final (EfficientNetB0, fine-tuned)",0.014223060570657253,0.5468069666182874,0.5321375186846039,0.7750362844702468,0.6310192023633678,0.5905763595880529
