auc,loss,precision,recall,val_auc,val_loss,val_precision,val_recall,learning_rate
0.853679358959198,0.4936298131942749,0.7654767036437988,0.7682539820671082,0.9445034861564636,0.6256356835365295,0.969924807548523,0.46739131212234497,0.0010000000474974513
0.9177579283714294,0.37123778462409973,0.840507447719574,0.841269850730896,0.9533712267875671,0.7020606994628906,0.9760000109672546,0.4420289993286133,0.0010000000474974513
0.9320319294929504,0.3350825011730194,0.8597785830497742,0.8453514575958252,0.9631248712539673,0.530434787273407,0.9695122241973877,0.5760869383811951,0.0010000000474974513
0.9365334510803223,0.3230854272842407,0.8667279481887817,0.8553287982940674,0.9638468027114868,0.47714367508888245,0.9666666388511658,0.6304348111152649,0.0010000000474974513
0.938434362411499,0.31796252727508545,0.8633854389190674,0.8512471914291382,0.9655009508132935,0.42076656222343445,0.9675675630569458,0.6485507488250732,0.0010000000474974513
0.9431949257850647,0.30553311109542847,0.8702604174613953,0.8639456033706665,0.9635778069496155,0.5424822568893433,0.9756097793579102,0.5797101259231567,0.0010000000474974513
0.9415019154548645,0.30871108174324036,0.8737819194793701,0.8539682626724243,0.9649234414100647,0.4302736520767212,0.9625668525695801,0.6521739363670349,0.0010000000474974513
0.9451372027397156,0.2997298836708069,0.8745437860488892,0.8693877458572388,0.9583530426025391,0.5319585204124451,0.9757575988769531,0.5833333134651184,0.0005000000237487257
0.9403607249259949,0.3133455216884613,0.864545464515686,0.8625850081443787,0.9536927938461304,0.6019945740699768,0.9729729890823364,0.52173912525177,0.0010000000474974513
0.9409752488136292,0.31187471747398376,0.8720877170562744,0.8657596111297607,0.9532989263534546,0.6703113913536072,0.9716312289237976,0.49637681245803833,0.0010000000474974513
0.9435442090034485,0.30448272824287415,0.8756333589553833,0.8621315360069275,0.9642406702041626,0.5102806687355042,0.976190447807312,0.5942028760910034,0.0010000000474974513
0.9455533623695374,0.2994694709777832,0.8811513185501099,0.8607710003852844,0.9635055661201477,0.4636629521846771,0.977011501789093,0.6159420013427734,0.0010000000474974513
0.9470030069351196,0.29470375180244446,0.8709825277328491,0.8603174686431885,0.9628162980079651,0.43881192803382874,0.9668508172035217,0.6340579986572266,0.0010000000474974513
0.9516279101371765,0.2817578911781311,0.880294680595398,0.8671202063560486,0.9597642421722412,0.5325992703437805,0.9754601120948792,0.5760869383811951,0.0005000000237487257
0.9444119930267334,0.3049243688583374,0.872369647026062,0.8648526072502136,0.9639059901237488,0.48678910732269287,0.988304078578949,0.6123188138008118,0.0010000000474974513
0.944592297077179,0.3045371472835541,0.8735789060592651,0.8712018132209778,0.958228349685669,0.5930579900741577,0.9936708807945251,0.5688405632972717,0.0010000000474974513
0.9459137320518494,0.2977648377418518,0.874306857585907,0.8580498695373535,0.9605387449264526,0.5155254602432251,0.9883720874786377,0.6159420013427734,0.0010000000474974513
0.9467698335647583,0.2974725663661957,0.8836027979850769,0.8675736784934998,0.9611755013465881,0.43977856636047363,0.9886363744735718,0.6304348111152649,0.0005000000237487257
0.9519307613372803,0.28257495164871216,0.881627082824707,0.8748299479484558,0.9635121822357178,0.4621961712837219,0.9883720874786377,0.6159420013427734,0.0010000000474974513
0.9445064663887024,0.30493512749671936,0.8719707131385803,0.8648526072502136,0.9581364989280701,0.5793010592460632,0.9937499761581421,0.5760869383811951,0.0010000000474974513
0.945925772190094,0.2980581223964691,0.8729205131530762,0.8566893339157104,0.9605978727340698,0.5208681225776672,0.9882352948188782,0.6086956262588501,0.0010000000474974513
0.9470742344856262,0.29638954997062683,0.8871342539787292,0.8662131428718567,0.9609850645065308,0.44318661093711853,0.9886363744735718,0.6304348111152649,0.0005000000237487257
